price,bedrooms,sqft_living,waterfront
221900,3,1180,0
538000,3,2570,0
180000,2,770,0
604000,4,1960,0
510000,3,1680,0
1.225e+006,4,5420,0
257500,3,1715,0
291850,3,1060,0
229500,3,1780,0
323000,3,1890,0
662500,3,3560,0
468000,2,1160,0
310000,3,1430,0
400000,3,1370,0
530000,5,1810,0
650000,4,2950,0
395000,3,1890,0
485000,4,1600,0
189000,2,1200,0
230000,3,1250,0
385000,4,1620,0
2000000,3,3050,0
285000,5,2270,0
252700,2,1070,0
329000,3,2450,0
233000,3,1710,0
937000,3,2450,0
667000,3,1400,0
438000,3,1520,0
719000,4,2570,0
580500,3,2320,0
280000,2,1190,0
687500,4,2330,0
535000,3,1090,0
322500,4,2060,0
696000,3,2300,0
550000,4,1660,0
640000,4,2360,0
240000,4,1220,0
605000,4,2620,0
625000,4,2570,0
775000,4,4220,0
861990,5,3595,0
685000,3,1570,0
309000,3,1280,0
488000,3,3160,0
210490,3,990,0
785000,4,2290,0
450000,3,1250,0
1.35e+006,3,2753,1
228000,3,1190,0
345000,5,3150,0
600000,3,1410,0
585000,2,1980,0
920000,5,2730,0
885000,4,2830,0
292500,4,2250,0
301000,3,2420,0
951000,5,3250,0
430000,4,1850,0
650000,3,2150,0
289000,3,1260,0
505000,3,2519,0
549000,3,1540,0
425000,3,1660,0
317625,3,2770,0
975000,4,2720,0
287000,4,2240,0
204000,3,1000,0
1.325e+006,5,3200,0
1.04e+006,5,4770,0
325000,3,1260,0
571000,4,2750,0
360000,4,2380,0
349000,3,1790,0
832500,4,3430,0
380000,4,1760,0
480000,3,1040,0
410000,3,1410,0
720000,4,3450,0
390000,3,2350,0
360000,4,1900,0
355000,2,2020,0
356000,3,1680,0
315000,3,960,0
940000,3,2140,0
305000,5,2660,0
461000,3,2770,0
215000,2,1610,0
335000,2,1030,0
243500,4,1980,0
1.09988e+006,5,3520,0
153000,3,1200,0
430000,3,1580,0
700000,3,1580,0
905000,4,3300,0
247500,3,1960,0
199000,4,1160,0
314000,3,1810,0
437500,3,2320,0
850830,3,2070,0
555000,3,1980,0
699950,3,2190,0
1.088e+006,3,2920,0
290000,3,1210,0
375000,3,2340,0
460000,3,1670,0
188500,2,1240,0
680000,4,3140,0
470000,5,2030,0
597750,4,2310,0
570000,3,1260,0
272500,3,1540,0
329950,3,2080,0
480000,4,3230,0
740500,3,4380,0
518500,3,1590,0
205425,2,880,0
171800,4,1570,0
535000,4,1610,0
660000,3,2400,0
391500,3,1450,0
395000,2,770,0
445000,4,2100,0
770000,3,2910,0
1.45e+006,4,2750,0
445000,3,2100,0
260000,4,2160,0
822500,5,2320,0
430000,4,2070,0
212000,3,1060,0
660500,4,2010,0
784000,3,3950,0
453246,3,2010,0
675000,4,2140,0
199000,3,1320,0
220000,4,2020,0
452000,4,2590,0
382500,2,1190,0
519950,3,1170,0
665000,2,1110,0
527700,5,2820,0
205000,3,1610,0
420000,3,1060,0
500000,4,2030,0
921500,4,3670,0
890000,4,2550,0
430000,2,2420,0
258000,5,2260,0
511000,3,1430,0
532170,3,1360,0
560000,3,1110,0
282950,3,1250,0
2.25e+006,4,5180,0
350000,1,700,0
215000,3,1180,0
650000,5,3960,0
320000,4,2640,0
247000,3,1270,0
320000,4,1760,0
255000,5,2060,0
438000,3,1780,0
900000,3,3400,0
441000,3,1910,0
420000,3,2020,0
370000,3,1580,0
269950,2,1340,0
807100,4,2680,0
653000,3,2680,0
371500,3,1370,0
284000,3,1560,0
272000,3,2160,0
313000,3,1340,0
917500,4,3880,0
673000,4,2590,0
425000,3,1120,0
399950,5,1970,0
385000,3,1220,0
269950,3,1950,0
330000,2,1350,0
260000,3,1670,0
470000,4,2380,0
589000,4,2440,0
163500,2,1050,0
835000,4,3130,0
1.095e+006,5,4090,0
269000,4,1490,0
560000,3,1900,0
615000,4,1330,0
585188,3,2230,0
305000,3,1650,0
166950,3,1190,0
799000,3,2140,0
400000,3,2180,0
230000,3,1060,0
256883,3,1690,0
423000,4,1970,0
465000,3,2150,0
440000,3,1910,0
385000,3,1350,0
210000,3,860,0
297000,3,1940,0
470000,3,1010,0
226500,3,1300,0
274250,3,910,0
840000,4,2480,0
677900,3,2440,0
425000,3,1010,0
180250,2,900,0
464000,6,2300,0
320000,4,1550,0
625504,3,1270,0
592500,4,2240,0
465000,3,2714,0
477000,4,1720,0
280000,2,850,0
1.505e+006,5,3300,0
445838,3,2250,0
1.072e+006,2,3900,0
467000,2,1320,0
686000,4,2760,0
279950,3,1750,0
527000,4,2330,0
325000,3,2220,0
328000,3,2020,0
390000,3,1250,0
479950,2,1510,0
264950,4,1720,0
235000,3,1430,0
516500,3,1480,0
655000,2,1450,1
500000,4,2280,0
315000,6,2940,0
213000,2,1000,0
475000,3,2480,0
1.025e+006,5,3760,0
416000,3,2220,0
410000,4,1970,0
800000,3,3830,0
472000,6,4410,0
225000,3,1430,0
210000,2,830,0
455000,2,1430,0
225000,3,1300,0
480000,2,1030,0
363000,3,2740,0
2.4e+006,4,3650,1
181000,2,720,0
250000,4,2010,0
481000,3,1560,0
260000,3,1810,0
455000,4,3360,0
415000,3,1510,0
349500,3,1400,0
245000,3,1730,0
592500,2,1420,0
385000,4,2360,0
315000,3,1580,0
255000,3,1230,0
693000,4,2460,0
780000,3,1660,0
237000,3,1270,0
525000,3,2100,0
425000,2,770,0
369900,1,760,1
290000,4,1700,0
285000,3,1120,0
415000,2,1070,0
272500,3,2070,0
2.9e+006,4,5050,0
1.365e+006,4,5310,0
436000,2,1040,0
210000,3,1700,0
236000,3,1300,0
331000,3,1080,0
365000,3,2653,0
450000,3,2290,0
770000,4,3820,0
455000,4,2210,0
405000,3,2390,0
304900,4,2600,0
170000,2,860,0
2.05e+006,5,3830,0
780000,4,3500,0
330000,3,2420,0
370000,4,2720,0
467000,5,2500,0
405000,3,1670,0
675000,5,2900,0
500000,2,1640,0
389999,4,1890,0
630000,4,2950,0
360000,4,2160,0
580000,4,3280,0
550000,3,1970,0
879000,4,3360,0
265000,3,1320,0
446500,3,2650,0
404000,3,2030,0
267500,3,1590,0
3.075e+006,4,4550,1
335000,3,2440,0
576000,3,1940,0
208633,3,2040,0
315000,3,2200,0
725000,3,1920,0
550000,4,1800,0
610750,4,2180,0
550700,2,1010,0
665000,4,3320,0
834000,4,2370,0
201000,5,1660,0
2.384e+006,5,3650,0
1.384e+006,4,4290,0
1.4e+006,4,4290,0
305000,4,1950,0
487000,3,2590,0
390000,3,1930,0
548000,2,1470,0
268750,4,800,0
819900,5,3150,0
520000,3,2030,0
230000,3,1450,0
240000,3,1510,0
232000,2,1240,0
240500,2,1240,0
274975,3,3030,0
740000,4,2050,0
186375,3,1000,0
790000,3,2370,0
880000,4,2800,0
279000,6,2240,0
295000,3,1810,0
640000,2,1070,0
940000,4,2490,0
260000,4,1960,0
559900,3,2930,0
791500,4,1510,0
265000,3,1420,0
245000,3,1740,0
485000,4,2560,0
684000,4,3040,0
425000,3,2500,0
309600,4,1275,0
552250,4,2580,0
165000,4,1000,0
239900,4,1000,0
320000,2,1070,0
206600,3,1390,0
387000,4,2500,0
299000,1,560,0
855000,4,2270,0
315000,3,1900,0
437500,2,990,0
252000,4,1550,0
375000,4,2200,0
300000,4,1910,0
420000,4,1750,0
900000,3,1330,0
679900,3,2440,0
463000,3,1640,0
380000,5,2760,0
329500,4,1820,0
604950,3,2110,0
795000,5,3040,0
